****************************************
* Copied from https://code.qt.io/cgit/ *
****************************************

Name	Description	Owner	Idle	Links
qt/qtcoap.git	Qt CoAP client module			summarylogtree
qt/qtconnectivity.git	Qt Connectivity		16 months	summarylogtree
qt/qtdatavis3d.git	Qt 3D data visualization framework			summarylogtree
qt/qtdeclarative-render2d.git	Raster backend for QtQuick scene graph			summarylogtree
qt/qtdeclarative-testsuites.git	External test suites for qtdeclarative. This is a submodule of qtdeclarative - n...		16 months	summarylogtree
qt/qtdeclarative.git	Qt Declarative (Quick 2)		6 weeks	summarylogtree
qt/qtdesignviewer.git	Viewer application for .qmlproject based QML applications			summarylogtree
qt/qtdeviceutilities.git	Utils for Boot2Qt			summarylogtree
qt/qtdltlogging.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt/qtdoc.git	Qt Documentation		8 months	summarylogtree
qt/qtdocgallery.git	Qt DocGallery (experimental)		16 months	summarylogtree
qt/qtenginio.git	Qt client for Engin.IO (Digia Cloud Services)		16 months	summarylogtree
qt/qtfeedback.git	Qt Tactile Feedback		16 months	summarylogtree
qt/qtftp.git	Qt 4's QFtp class for Qt 5		16 months	summarylogtree
qt/qtgamepad.git	A Qt 5 module that adds support for getting events from gamepad devices on multi...			summarylogtree
qt/qtgraphicaleffects.git	Graphical Effects for Qt		16 months	summarylogtree
qt/qtgraphs.git	Qt Graphs for data visualization.		6 months	summarylogtree
qt/qtgrpc.git	Providing protobuf and gRPC support for Qt.		7 weeks	summarylogtree
qt/qthttp.git	Qt 4's QHttp class for Qt 5		16 months	summarylogtree
qt/qthttpserver.git	Qt Extension: Qt HTTP Server		16 months	summarylogtree
qt/qtimageformats.git	Additional Image Format plugins for Qt		16 months	summarylogtree
qt/qtinterfaceframework-qface.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt/qtinterfaceframework-taglib.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt/qtinterfaceframework.git	Unnamed repository; edit this file 'description' to name the repository.		7 months	summarylogtree
qt/qtivi-qface.git	Mirror of https://github.com/Pelagicore/qface. This is a submodule of qtivi - no...			summarylogtree
qt/qtivi-taglib.git	Mirror of https://github.com/taglib/taglib. This is a submodule of qtivi - no po...			summarylogtree
qt/qtivi.git	Support for Automotive IVI Systems		16 months	summarylogtree
qt/qtjsondb.git	*** Orphaned Project ***		16 months	summarylogtree
qt/qtknx.git	Implementation of the KNX protocol stack			summarylogtree
qt/qtlanguageserver.git	An implementation of the Language Server Protocol			summarylogtree
qt/qtlicenseserver.git	Tooling for Qt modules to communicate with the Qt License Server			summarylogtree
qt/qtlocation-mapboxgl.git	Mirror/fork of https://github.com/mapbox/mapbox-gl-native. This is a submodule o...		16 months	summarylogtree
qt/qtlocation.git	Qt Location		16 months	summarylogtree
qt/qtlottie.git	Lottie is a family of player software for a certain json-based file format for d...			summarylogtree
qt/qtmacextras.git	Mac Extras for Qt		16 months	summarylogtree
qt/qtmodeling.git	Qt-based implementation of Object Management Group (OMG)’s Meta Object Facilit...		16 months	summarylogtree
qt/qtmqtt.git	Qt Module to implement MQTT protocol version 3.1 and 3.1.1 http://mqtt.org/		11 months	summarylogtree
qt/qtmultimedia.git	Qt Multimedia		4 days	summarylogtree
qt/qtnetworkauth.git	Qt Network Authenticators; QtOAuth in particular			summarylogtree
qt/qtopcua.git	Qt wrapper for existing OPC UA stacks		13 months	summarylogtree
qt/qtotaupdate.git	OTA Update Solution For Embedded Linux		16 months	summarylogtree
qt/qtpim.git	Qt Personal Information Management		16 months	summarylogtree
qt/qtpositioning.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt/qtpurchasing.git	Qt In-App Purchasing API			summarylogtree
qt/qtqa.git	Qt QA Scripts		5 days	summarylogtree
qt/qtquick1.git	Qt Quick 1		16 months	summarylogtree
qt/qtquick3d-assimp.git	Vendor branches of assimp. This is a submodule of qtquick3d - no point in clonin...		4 months	summarylogtree
qt/qtquick3d.git	A new module and API for defining 3D content in Qt Quick.		16 months	summarylogtree
qt/qtquick3dphysics.git	Physics engine integration for Qt Quick 3D			summarylogtree
qt/qtquickcontrols-tizen.git	Qt Quick Controls for Tizen		16 months	summarylogtree
qt/qtquickcontrols.git	Qt Quick Controls		16 months	summarylogtree
qt/qtquickcontrols2.git	Qt Quick Controls 2		16 months	summarylogtree
qt/qtquickeffectmaker.git	Qt Quick Effect Maker (QQEM) for creating and editing custom shader effects			summarylogtree
qt/qtquicktimeline.git	Module for keyframe-based timeline construction.			summarylogtree
qt/qtreleasenotes.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt/qtremoteobjects.git	Qt distributed object system		16 months	summarylogtree
qt/qtrepotools.git	Qt Repository Tools - git commands and hooks, etc.		8 days	summarylogtree
qt/qtscript.git	Qt Script (JSC based)		16 months	summarylogtree
qt/qtscxml.git	SCXML (state machine notation) compiler and related tools			summarylogtree
qt/qtsensors.git	Qt Sensors		9 days	summarylogtree
qt/qtserialbus.git	Support for CAN and potentially other serial buses.		16 months	summarylogtree
qt/qtserialport.git	Qt Serial Port support		11 months	summarylogtree
qt/qtshadertools.git	APIs and tools in this module provide the producer functionality for the shader ...			summarylogtree
qt/qtspeech.git	Qt Speech support		16 months	summarylogtree
qt/qtstatemachines.git	Qt State Machine framework		16 months	summarylogtree
qt/qtstyleplugins.git	Additional style plugins for Qt		16 months	summarylogtree
qt/qtsvg.git	Qt SVG		16 months	summarylogtree
qt/qtsystems.git	Qt Systems		16 months	summarylogtree
qt/qttools.git	Qt Tools		6 months	summarylogtree
qt/qttranslations.git	Qt Translations		16 months	summarylogtree
qt/qtvirtualkeyboard.git	QtQuick virtual keyboard		16 months	summarylogtree
qt/qtvoiceassistant.git	Voice assistant integration (e.g. Alexa) for Qt applications.		16 months	summarylogtree
qt/qtwayland.git	A toolbox for making Qt based Wayland compositors		4 months	summarylogtree
qt/qtwebchannel.git	Qt WebChannel		16 months	summarylogtree
qt/qtwebengine-chromium.git	Vendor branch of Chromium. This is a submodule of qtwebengine - no point in clon...		9 months	summarylogtree
qt/qtwebengine.git	Qt WebEngine		5 months	summarylogtree
qt/qtwebglplugin.git	QPA plugin for running an application via a browser using streamed WebGL command...			summarylogtree
qt/qtwebkit-examples.git	Examples for Qt Webkit		16 months	summarylogtree
qt/qtwebkit.git	Qt Webkit		16 months	summarylogtree
qt/qtwebsockets.git	Qt WebSockets		16 months	summarylogtree
qt/qtwebview.git	Qt Web View		13 months	summarylogtree
qt/qtwinextras.git	Qt Extras for Windows		16 months	summarylogtree
qt/qtx11extras.git	Qt Extras for X11		16 months	summarylogtree
qt/qtx509.git	AddOn for X.509 certificate management		16 months	summarylogtree
qt/qtxmlpatterns-testsuites.git	External test suites for qtxmlpatterns. This is a submodule of qtxmlpatterns - n...		16 months	summarylogtree
qt/qtxmlpatterns.git	Qt XmlPatterns (Xpath, Xquery, ... engine)		16 months	summarylogtree
qt3dstudio/ogl-runtime.git	OpenGL based runtime for Qt 3D Studio		4 weeks	summarylogtree
qt3dstudio/qt3d-runtime.git	Qt 3D Studio Runtime 2.0		16 months	summarylogtree
qt3dstudio/qt3dstudio-collada-dom.git	Vendor branch of Collada-DOM. This is a submodule of qt3dstudio - no point in cl...		16 months	summarylogtree
qt3dstudio/qt3dstudio-eastl.git	Vendor branch of EASTL. This is a submodule of qt3dstudio - no point in cloning ...		16 months	summarylogtree
qt3dstudio/qt3dstudio-lua.git	Vendor branch of LUA. This is a submodule of qt3dstudio - no point in cloning it...		16 months	summarylogtree
qt3dstudio/qt3dstudio-pcre.git	Vendor branch of PCRE. This is a submodule of qt3dstudio (dependency of qt3dstud...		16 months	summarylogtree
qt3dstudio/qt3dstudio.git	Qt 3D Studio		16 months	summarylogtree
qt4ia/doc.git	Documentation & examples for the "Qt for [Industry] Automation" product.			summarylogtree
qtbots/qtsecuritybot.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qtdesigntools/sharedcomponents.git	This repository contains shared components for Qt Creator and Qt 3D Studio.		16 months	summarylogtree
qtonpi/mt-cross-tools.git	Qt on Raspberry PI		16 months	summarylogtree
qtqa/gerrit-plugin-info-banner.git	A Gerrit plugin that allows administrators to set a banner message for all users...			summarylogtree
qtqa/gerrit-plugin-qt-workflow.git	Gerrit plugin which implements Qt Project specific workflows			summarylogtree
qtqa/gerrit-plugin-replication.git	The Qt Project's branch of Gerrit Replication plugin		16 months	summarylogtree
qtqa/gerrit.git	The Qt Project's vendor branch of Gerrit Code Review		3 months	summarylogtree
qtqa/release-testing.git	Release testing feedback form		16 months	summarylogtree
qtqa/sysadmin.git	Scripts used for the system administration of Qt automated test infrastructure.		16 months	summarylogtree
qtqa/testconfig.git	Configuration data for the Qt CI system.		16 months	summarylogtree
qtsdk/qtchooser.git	Qt Chooser - Tool to quickly switch between multiple Qt installations		16 months	summarylogtree
qtsdk/qtsdk.git	Qt SDK packaging scripts		15 months	summarylogtree
test/project.git	Test project. Shoot at will.		16 months	summarylogtree
www/doctools.git	Tools & config related to doc.qt-project.org		16 months	summarylogtree
www/downloads.git	downloads.qt-project.org configuration		16 months	summarylogtree
www/planetqt.git	Qt Blog aggregator configuration		12 months	summarylogtree
